month,year,trap,nummosquitos,wnvpresent,latitude,longitude,species
5,2007,T002,2.0,0.0,41.95469,-87.800991,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2007,T007,1.0,0.0,41.994991,-87.769279,CULEX RESTUANS
5,2007,T015,5.0,0.0,41.974089,-87.824812,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2007,T045,2.0,0.0,41.9216,-87.666455,CULEX RESTUANS
5,2007,T046,1.0,0.0,41.891118,-87.65449100000002,CULEX RESTUANS
5,2007,T048,3.0,0.0,41.867108,-87.654224,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2007,T049,1.0,0.0,41.896282,-87.655232,CULEX RESTUANS
5,2007,T050,1.0,0.0,41.919343,-87.694259,CULEX PIPIENS/RESTUANS
5,2007,T054,5.0,0.0,41.921965,-87.632085,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2007,T086,2.0,0.0,41.688324,-87.676709,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2007,T091,1.0,0.0,41.862292,-87.64886,CULEX RESTUANS
5,2007,T094,3.0,0.0,41.720848,-87.666014,CULEX RESTUANS
5,2007,T096,6.0,0.0,41.731922,-87.677512,"CULEX RESTUANS, CULEX PIPIENS"
5,2007,T129,3.0,0.0,41.891126,-87.61156,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2007,T143,1.0,0.0,41.999129,-87.795585,CULEX PIPIENS/RESTUANS
5,2007,T148,1.0,0.0,42.01743,-87.68776899999996,CULEX PIPIENS/RESTUANS
5,2007,T153,1.0,0.0,41.907645,-87.760886,CULEX RESTUANS
5,2007,T159,1.0,0.0,41.732984,-87.649642,CULEX RESTUANS
5,2009,T002,2.0,0.0,41.95469,-87.800991,CULEX PIPIENS/RESTUANS
5,2009,T003,1.0,0.0,41.964242,-87.757639,CULEX PIPIENS/RESTUANS
5,2009,T008,6.0,0.0,42.008314,-87.77792099999998,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS"
5,2009,T009,1.0,0.0,41.99247800000001,-87.862995,CULEX RESTUANS
5,2009,T011,5.0,0.0,41.944869,-87.832763,CULEX PIPIENS/RESTUANS
5,2009,T012,12.0,0.0,41.991429,-87.747113,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T017,1.0,0.0,41.960616,-87.777189,CULEX RESTUANS
5,2009,T028,1.0,0.0,41.986921,-87.689778,CULEX PIPIENS/RESTUANS
5,2009,T030,5.0,0.0,41.89923,-87.716788,CULEX PIPIENS/RESTUANS
5,2009,T031,28.0,0.0,41.801498,-87.763416,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T039,1.0,0.0,41.911824,-87.726737,CULEX RESTUANS
5,2009,T043,1.0,0.0,41.857402,-87.694991,CULEX PIPIENS/RESTUANS
5,2009,T045,1.0,0.0,41.9216,-87.666455,CULEX PIPIENS/RESTUANS
5,2009,T054,2.0,0.0,41.921965,-87.632085,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T062,1.0,0.0,41.800737,-87.71188000000002,CULEX PIPIENS/RESTUANS
5,2009,T063,1.0,0.0,41.82561,-87.726549,CULEX PIPIENS/RESTUANS
5,2009,T073,9.0,0.0,41.773215,-87.60088,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T074,3.0,0.0,41.822536,-87.66634300000004,CULEX PIPIENS/RESTUANS
5,2009,T079,1.0,0.0,41.766202,-87.562889,CULEX PIPIENS/RESTUANS
5,2009,T082,2.0,0.0,41.803423,-87.642984,CULEX RESTUANS
5,2009,T083,3.0,0.0,41.754292,-87.590773,CULEX PIPIENS/RESTUANS
5,2009,T089,2.0,0.0,41.723195,-87.64997,CULEX PIPIENS/RESTUANS
5,2009,T090,6.0,0.0,41.868077,-87.666901,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T094,5.0,0.0,41.720848,-87.666014,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T102,1.0,0.0,41.750498,-87.605294,CULEX RESTUANS
5,2009,T114,2.0,0.0,41.798697,-87.736812,CULEX RESTUANS
