species,trap
CULEX PIPIENS/RESTUANS,T002
CULEX RESTUANS,T002
CULEX PIPIENS,T002
CULEX SALINARIUS,T002
CULEX TERRITANS,T002
CULEX TARSALIS,T002
UNSPECIFIED CULEX,T002
CULEX ERRATICUS,T002
CULEX PIPIENS/RESTUANS,T007
CULEX RESTUANS,T007
CULEX PIPIENS,T007
CULEX SALINARIUS,T007
CULEX TERRITANS,T007
CULEX TARSALIS,T007
UNSPECIFIED CULEX,T007
CULEX ERRATICUS,T007
CULEX PIPIENS/RESTUANS,T015
CULEX RESTUANS,T015
CULEX PIPIENS,T015
CULEX SALINARIUS,T015
CULEX TERRITANS,T015
CULEX TARSALIS,T015
UNSPECIFIED CULEX,T015
CULEX ERRATICUS,T015
CULEX PIPIENS/RESTUANS,T045
CULEX RESTUANS,T045
CULEX PIPIENS,T045
CULEX SALINARIUS,T045
CULEX TERRITANS,T045
CULEX TARSALIS,T045
UNSPECIFIED CULEX,T045
CULEX ERRATICUS,T045
CULEX PIPIENS/RESTUANS,T046
CULEX RESTUANS,T046
CULEX PIPIENS,T046
CULEX SALINARIUS,T046
CULEX TERRITANS,T046
CULEX TARSALIS,T046
UNSPECIFIED CULEX,T046
CULEX ERRATICUS,T046
CULEX PIPIENS/RESTUANS,T048
CULEX RESTUANS,T048
CULEX PIPIENS,T048
CULEX SALINARIUS,T048
CULEX TERRITANS,T048
CULEX TARSALIS,T048
UNSPECIFIED CULEX,T048
CULEX ERRATICUS,T048
CULEX PIPIENS/RESTUANS,T049
CULEX RESTUANS,T049
CULEX PIPIENS,T049
CULEX SALINARIUS,T049
CULEX TERRITANS,T049
CULEX TARSALIS,T049
UNSPECIFIED CULEX,T049
CULEX ERRATICUS,T049
CULEX PIPIENS/RESTUANS,T050
CULEX RESTUANS,T050
CULEX PIPIENS,T050
CULEX SALINARIUS,T050
CULEX TERRITANS,T050
CULEX TARSALIS,T050
UNSPECIFIED CULEX,T050
CULEX ERRATICUS,T050
CULEX PIPIENS/RESTUANS,T054
CULEX RESTUANS,T054
CULEX PIPIENS,T054
CULEX SALINARIUS,T054
CULEX TERRITANS,T054
CULEX TARSALIS,T054
UNSPECIFIED CULEX,T054
CULEX ERRATICUS,T054
CULEX PIPIENS/RESTUANS,T086
CULEX RESTUANS,T086
CULEX PIPIENS,T086
CULEX SALINARIUS,T086
CULEX TERRITANS,T086
CULEX TARSALIS,T086
UNSPECIFIED CULEX,T086
CULEX ERRATICUS,T086
CULEX PIPIENS/RESTUANS,T091
CULEX RESTUANS,T091
CULEX PIPIENS,T091
CULEX SALINARIUS,T091
CULEX TERRITANS,T091
CULEX TARSALIS,T091
UNSPECIFIED CULEX,T091
CULEX ERRATICUS,T091
CULEX PIPIENS/RESTUANS,T094
CULEX RESTUANS,T094
CULEX PIPIENS,T094
CULEX SALINARIUS,T094
CULEX TERRITANS,T094
CULEX TARSALIS,T094
UNSPECIFIED CULEX,T094
CULEX ERRATICUS,T094
CULEX PIPIENS/RESTUANS,T096
CULEX RESTUANS,T096
CULEX PIPIENS,T096
CULEX SALINARIUS,T096
CULEX TERRITANS,T096
CULEX TARSALIS,T096
UNSPECIFIED CULEX,T096
CULEX ERRATICUS,T096
CULEX PIPIENS/RESTUANS,T129
CULEX RESTUANS,T129
CULEX PIPIENS,T129
CULEX SALINARIUS,T129
CULEX TERRITANS,T129
CULEX TARSALIS,T129
UNSPECIFIED CULEX,T129
CULEX ERRATICUS,T129
CULEX PIPIENS/RESTUANS,T143
CULEX RESTUANS,T143
CULEX PIPIENS,T143
CULEX SALINARIUS,T143
CULEX TERRITANS,T143
CULEX TARSALIS,T143
UNSPECIFIED CULEX,T143
CULEX ERRATICUS,T143
CULEX PIPIENS/RESTUANS,T148
CULEX RESTUANS,T148
CULEX PIPIENS,T148
CULEX SALINARIUS,T148
CULEX TERRITANS,T148
CULEX TARSALIS,T148
UNSPECIFIED CULEX,T148
CULEX ERRATICUS,T148
CULEX PIPIENS/RESTUANS,T153
CULEX RESTUANS,T153
CULEX PIPIENS,T153
CULEX SALINARIUS,T153
CULEX TERRITANS,T153
CULEX TARSALIS,T153
UNSPECIFIED CULEX,T153
CULEX ERRATICUS,T153
CULEX PIPIENS/RESTUANS,T159
CULEX RESTUANS,T159
CULEX PIPIENS,T159
CULEX SALINARIUS,T159
CULEX TERRITANS,T159
CULEX TARSALIS,T159
UNSPECIFIED CULEX,T159
CULEX ERRATICUS,T159
CULEX PIPIENS/RESTUANS,T009
CULEX RESTUANS,T009
CULEX PIPIENS,T009
CULEX SALINARIUS,T009
CULEX TERRITANS,T009
CULEX TARSALIS,T009
UNSPECIFIED CULEX,T009
CULEX ERRATICUS,T009
CULEX PIPIENS/RESTUANS,T011
CULEX RESTUANS,T011
CULEX PIPIENS,T011
CULEX SALINARIUS,T011
CULEX TERRITANS,T011
CULEX TARSALIS,T011
UNSPECIFIED CULEX,T011
CULEX ERRATICUS,T011
CULEX PIPIENS/RESTUANS,T016
CULEX RESTUANS,T016
CULEX PIPIENS,T016
CULEX SALINARIUS,T016
CULEX TERRITANS,T016
CULEX TARSALIS,T016
UNSPECIFIED CULEX,T016
CULEX ERRATICUS,T016
CULEX PIPIENS/RESTUANS,T019
CULEX RESTUANS,T019
CULEX PIPIENS,T019
CULEX SALINARIUS,T019
CULEX TERRITANS,T019
CULEX TARSALIS,T019
UNSPECIFIED CULEX,T019
CULEX ERRATICUS,T019
CULEX PIPIENS/RESTUANS,T025
CULEX RESTUANS,T025
CULEX PIPIENS,T025
CULEX SALINARIUS,T025
CULEX TERRITANS,T025
CULEX TARSALIS,T025
UNSPECIFIED CULEX,T025
CULEX ERRATICUS,T025
CULEX PIPIENS/RESTUANS,T028
CULEX RESTUANS,T028
CULEX PIPIENS,T028
CULEX SALINARIUS,T028
CULEX TERRITANS,T028
CULEX TARSALIS,T028
UNSPECIFIED CULEX,T028
CULEX ERRATICUS,T028
CULEX PIPIENS/RESTUANS,T031
CULEX RESTUANS,T031
CULEX PIPIENS,T031
CULEX SALINARIUS,T031
CULEX TERRITANS,T031
CULEX TARSALIS,T031
UNSPECIFIED CULEX,T031
CULEX ERRATICUS,T031
CULEX PIPIENS/RESTUANS,T033
CULEX RESTUANS,T033
